Job Title,Company,Industry,City,Experience,Employment Type,Work Mode,Company Email,Description,Posted Date
Marketing Executive,Apollo Hospitals,Marketing & Advertising,Ahmedabad,Fresher,Full Time,Remote,careers@apollohospitals.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2025-12-21
Operations Executive,Mahindra & Mahindra,Logistics,Bhopal,0-1 Years,Contract,Hybrid,careers@mahindra&mahindra.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2026-01-12
Operations Executive,Infosys,Logistics,Patna,5+ Years,Contract,Hybrid,careers@infosys.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2025-11-23
Production Supervisor,Reliance Industries,General,Lucknow,0-1 Years,Full Time,On-site,careers@relianceindustries.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2026-01-13
Warehouse Manager,Infosys,Logistics,Mumbai,1-3 Years,Full Time,On-site,careers@infosys.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2026-01-16
Interior Designer,Infosys,General,Kolkata,0-1 Years,Full Time,On-site,careers@infosys.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2026-01-01
Civil Engineer,Adani Group,General,Mumbai,Fresher,Full Time,On-site,careers@adanigroup.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2025-11-24
Production Supervisor,Tata Group,General,Bhopal,5+ Years,Full Time,On-site,careers@tatagroup.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-12-11
Customer Support Executive,Tata Group,General,Mumbai,3-5 Years,Full Time,On-site,careers@tatagroup.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2026-01-15
Production Supervisor,Adani Group,General,Chennai,0-1 Years,Full Time,On-site,careers@adanigroup.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-12-05
Marketing Executive,L&T,Marketing & Advertising,Bengaluru,5+ Years,Part Time,On-site,careers@l&t.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-12-02
Civil Engineer,Flipkart,General,Delhi,5+ Years,Full Time,On-site,careers@flipkart.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-11-22
Content Writer,Zomato,General,Ahmedabad,0-1 Years,Full Time,On-site,careers@zomato.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2025-11-21
Mechanical Engineer,Amazon India,General,Pune,1-3 Years,Full Time,On-site,careers@amazonindia.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2026-01-16
Data Analyst,HDFC Bank,IT Services,Kolkata,Fresher,Full Time,On-site,careers@hdfcbank.com,Implement data cleaning and transformation pipelines. Create dashboards and reports to support business decisions. Analyze large datasets to extract actionable insights. Work with stakeholders to understand data requirements.,2025-12-11
Civil Engineer,Wipro,General,Indore,5+ Years,Full Time,On-site,careers@wipro.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2025-12-21
Teacher,ICICI Bank,Education,Bhopal,3-5 Years,Full Time,On-site,careers@icicibank.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2025-11-24
Mechanical Engineer,ICICI Bank,General,Ahmedabad,0-1 Years,Full Time,On-site,careers@icicibank.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-21
Staff Nurse,Infosys,Healthcare,Bhopal,1-3 Years,Full Time,On-site,careers@infosys.com,Maintain medical records and ensure hygiene standards. Provide patient care and assist doctors in clinical procedures. Assist in emergency situations and routine checkups. Communicate with patients and families about treatment plans.,2026-01-08
Operations Executive,Reliance Industries,Logistics,Indore,0-1 Years,Contract,On-site,careers@relianceindustries.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2026-01-10
Accountant,Byju's,Banking & Finance,Delhi,Fresher,Part Time,Remote,careers@byju's.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2026-01-10
Supply Chain Analyst,Mahindra & Mahindra,General,Delhi,5+ Years,Full Time,On-site,careers@mahindra&mahindra.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2026-01-16
Civil Engineer,Zomato,General,Hyderabad,0-1 Years,Full Time,On-site,careers@zomato.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2025-12-10
Customer Support Executive,Amazon India,General,Ahmedabad,0-1 Years,Full Time,On-site,careers@amazonindia.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-29
Pharmacist,Flipkart,General,Gurgaon,3-5 Years,Full Time,On-site,careers@flipkart.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2026-01-11
Software Engineer,Byju's,IT Services,Chennai,Fresher,Internship,Hybrid,careers@byju's.com,"Design, develop, and maintain scalable software applications. Write technical documentation and ensure proper version control. Collaborate with cross-functional teams to implement new features. Participate in code reviews and improve development standards.",2025-11-21
Site Supervisor,HDFC Bank,Construction,Ahmedabad,3-5 Years,Full Time,On-site,careers@hdfcbank.com,Schedule labor and resources efficiently to meet deadlines. Monitor project progress and report to management. Ensure safety standards and material quality. Supervise construction activities at the site.,2025-11-24
Supply Chain Analyst,Zomato,General,Hyderabad,0-1 Years,Full Time,On-site,careers@zomato.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-14
Site Supervisor,Apollo Hospitals,Construction,Jaipur,0-1 Years,Contract,On-site,careers@apollohospitals.com,Coordinate with engineers and contractors. Ensure safety standards and material quality. Schedule labor and resources efficiently to meet deadlines. Monitor project progress and report to management.,2025-12-24
Digital Marketing Executive,Infosys,General,Lucknow,1-3 Years,Full Time,On-site,careers@infosys.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-12-25
Pharmacist,Byju's,General,Hyderabad,0-1 Years,Full Time,On-site,careers@byju's.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2025-12-24
Customer Support Executive,Zomato,General,Nagpur,Fresher,Full Time,On-site,careers@zomato.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2025-11-25
Warehouse Manager,Tata Group,Logistics,Delhi,0-1 Years,Full Time,On-site,careers@tatagroup.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2025-12-30
Production Supervisor,Apollo Hospitals,General,Chennai,1-3 Years,Full Time,On-site,careers@apollohospitals.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-11-26
Production Supervisor,L&T,General,Patna,1-3 Years,Full Time,On-site,careers@l&t.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2026-01-16
Staff Nurse,Tata Group,Healthcare,Gurgaon,3-5 Years,Full Time,On-site,careers@tatagroup.com,Communicate with patients and families about treatment plans. Provide patient care and assist doctors in clinical procedures. Monitor patient vitals and administer medications. Maintain medical records and ensure hygiene standards.,2025-12-12
Site Supervisor,Swiggy,Construction,Bengaluru,1-3 Years,Contract,On-site,careers@swiggy.com,Ensure safety standards and material quality. Schedule labor and resources efficiently to meet deadlines. Monitor project progress and report to management. Supervise construction activities at the site.,2025-12-29
Marketing Executive,Amazon India,Marketing & Advertising,Noida,5+ Years,Internship,On-site,careers@amazonindia.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2025-12-15
Pharmacist,Zomato,General,Gurgaon,0-1 Years,Full Time,On-site,careers@zomato.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2026-01-09
Marketing Executive,Wipro,Marketing & Advertising,Bengaluru,5+ Years,Internship,Hybrid,careers@wipro.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2025-12-09
Civil Engineer,Adani Group,General,Indore,1-3 Years,Full Time,On-site,careers@adanigroup.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-17
Content Writer,Tata Group,General,Indore,1-3 Years,Full Time,On-site,careers@tatagroup.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2026-01-09
Content Writer,Adani Group,General,Ahmedabad,3-5 Years,Full Time,On-site,careers@adanigroup.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-12-03
Software Engineer,Mahindra & Mahindra,IT Services,Hyderabad,0-1 Years,Internship,Hybrid,careers@mahindra&mahindra.com,"Write technical documentation and ensure proper version control. Design, develop, and maintain scalable software applications. Debug, test, and optimize code for high performance. Collaborate with cross-functional teams to implement new features.",2026-01-09
Quality Analyst,Zomato,General,Jaipur,Fresher,Full Time,On-site,careers@zomato.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-12-19
Electrical Technician,Tata Group,General,Kolkata,Fresher,Full Time,On-site,careers@tatagroup.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2025-12-06
Supply Chain Analyst,HDFC Bank,General,Hyderabad,3-5 Years,Full Time,On-site,careers@hdfcbank.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2025-12-23
UI/UX Designer,Tata Group,General,Delhi,5+ Years,Full Time,On-site,careers@tatagroup.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-12-16
Interior Designer,HDFC Bank,General,Chennai,0-1 Years,Full Time,On-site,careers@hdfcbank.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2026-01-06
HR Executive,Swiggy,IT Services,Kolkata,Fresher,Full Time,On-site,careers@swiggy.com,"Support training and development initiatives. Assist in employee engagement and performance management. Maintain records of employee attendance and leave. Manage recruitment, onboarding, and employee documentation.",2026-01-17
Sales Manager,Adani Group,Retail,Pune,5+ Years,Full Time,On-site,careers@adanigroup.com,Achieve monthly targets and lead the sales team. Develop sales strategies and manage client relationships. Analyze market trends and customer needs. Prepare sales reports and presentations for management.,2025-11-25
Mechanical Engineer,Wipro,General,Noida,5+ Years,Full Time,On-site,careers@wipro.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2025-12-05
Production Supervisor,Tata Group,General,Gurgaon,3-5 Years,Full Time,On-site,careers@tatagroup.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-11-21
Civil Engineer,Reliance Industries,General,Hyderabad,1-3 Years,Full Time,On-site,careers@relianceindustries.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2026-01-01
Accountant,Reliance Industries,Banking & Finance,Bhopal,3-5 Years,Full Time,On-site,careers@relianceindustries.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-12-21
Operations Executive,Tata Group,Logistics,Indore,0-1 Years,Full Time,On-site,careers@tatagroup.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-31
Sales Manager,Tata Group,Retail,Chennai,Fresher,Full Time,On-site,careers@tatagroup.com,Analyze market trends and customer needs. Achieve monthly targets and lead the sales team. Develop sales strategies and manage client relationships. Prepare sales reports and presentations for management.,2025-12-31
Hospital Administrator,HDFC Bank,General,Kolkata,3-5 Years,Full Time,On-site,careers@hdfcbank.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2025-12-12
Hospital Administrator,Tata Group,General,Bhopal,1-3 Years,Full Time,On-site,careers@tatagroup.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2026-01-14
Data Analyst,Mahindra & Mahindra,IT Services,Jaipur,5+ Years,Contract,On-site,careers@mahindra&mahindra.com,Create dashboards and reports to support business decisions. Ensure data accuracy and maintain database integrity. Analyze large datasets to extract actionable insights. Implement data cleaning and transformation pipelines.,2026-01-12
Interior Designer,Flipkart,General,Bengaluru,5+ Years,Full Time,On-site,careers@flipkart.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-12-24
Data Analyst,L&T,IT Services,Patna,Fresher,Contract,Remote,careers@l&t.com,Implement data cleaning and transformation pipelines. Analyze large datasets to extract actionable insights. Create dashboards and reports to support business decisions. Work with stakeholders to understand data requirements.,2026-01-12
Loan Officer,Reliance Industries,General,Hyderabad,0-1 Years,Full Time,On-site,careers@relianceindustries.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-12-17
Data Analyst,Zomato,IT Services,Kolkata,Fresher,Contract,On-site,careers@zomato.com,Implement data cleaning and transformation pipelines. Ensure data accuracy and maintain database integrity. Work with stakeholders to understand data requirements. Create dashboards and reports to support business decisions.,2026-01-08
Civil Engineer,Mahindra & Mahindra,General,Ahmedabad,0-1 Years,Full Time,On-site,careers@mahindra&mahindra.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2026-01-15
Production Supervisor,Adani Group,General,Mumbai,1-3 Years,Full Time,On-site,careers@adanigroup.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2026-01-02
Mechanical Engineer,Wipro,General,Bhopal,3-5 Years,Full Time,On-site,careers@wipro.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-03
Software Engineer,Zomato,IT Services,Bengaluru,3-5 Years,Internship,On-site,careers@zomato.com,"Collaborate with cross-functional teams to implement new features. Participate in code reviews and improve development standards. Design, develop, and maintain scalable software applications. Write technical documentation and ensure proper version control.",2025-12-11
Graphic Designer,Byju's,General,Noida,0-1 Years,Full Time,On-site,careers@byju's.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-12-16
Graphic Designer,Swiggy,General,Patna,0-1 Years,Full Time,On-site,careers@swiggy.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2025-12-14
Operations Executive,Zomato,Logistics,Pune,1-3 Years,Contract,On-site,careers@zomato.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2026-01-01
Accountant,Wipro,Banking & Finance,Hyderabad,0-1 Years,Full Time,On-site,careers@wipro.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2026-01-03
Hospital Administrator,Wipro,General,Bhopal,1-3 Years,Full Time,On-site,careers@wipro.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2026-01-18
Supply Chain Analyst,Apollo Hospitals,General,Lucknow,5+ Years,Full Time,On-site,careers@apollohospitals.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2026-01-13
Production Supervisor,Infosys,General,Lucknow,3-5 Years,Full Time,On-site,careers@infosys.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2025-12-23
Digital Marketing Executive,Zomato,General,Kolkata,3-5 Years,Full Time,On-site,careers@zomato.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2025-11-23
Marketing Executive,HDFC Bank,Marketing & Advertising,Ahmedabad,1-3 Years,Internship,Hybrid,careers@hdfcbank.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-10
Teacher,Adani Group,Education,Bhopal,Fresher,Full Time,On-site,careers@adanigroup.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2026-01-07
Teacher,Adani Group,Education,Pune,3-5 Years,Full Time,Hybrid,careers@adanigroup.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-30
Software Engineer,ICICI Bank,IT Services,Pune,1-3 Years,Contract,Remote,careers@icicibank.com,"Design, develop, and maintain scalable software applications. Collaborate with cross-functional teams to implement new features. Write technical documentation and ensure proper version control. Debug, test, and optimize code for high performance.",2025-11-23
Sales Manager,L&T,Retail,Patna,Fresher,Full Time,On-site,careers@l&t.com,Develop sales strategies and manage client relationships. Negotiate contracts and maintain customer satisfaction. Prepare sales reports and presentations for management. Analyze market trends and customer needs.,2026-01-01
UI/UX Designer,ICICI Bank,General,Bengaluru,0-1 Years,Full Time,On-site,careers@icicibank.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-12-27
Operations Executive,L&T,Logistics,Bhopal,3-5 Years,Full Time,On-site,careers@l&t.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2025-12-05
Teacher,HDFC Bank,Education,Nagpur,3-5 Years,Part Time,Hybrid,careers@hdfcbank.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-08
Bank Clerk,Reliance Industries,General,Bhopal,5+ Years,Full Time,On-site,careers@relianceindustries.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2026-01-15
Supply Chain Analyst,HDFC Bank,General,Pune,1-3 Years,Full Time,On-site,careers@hdfcbank.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-12-06
Sales Manager,Tata Group,Retail,Chennai,Fresher,Full Time,On-site,careers@tatagroup.com,Prepare sales reports and presentations for management. Develop sales strategies and manage client relationships. Achieve monthly targets and lead the sales team. Negotiate contracts and maintain customer satisfaction.,2026-01-02
Mechanical Engineer,Byju's,General,Noida,1-3 Years,Full Time,On-site,careers@byju's.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-12-18
Interior Designer,HDFC Bank,General,Delhi,0-1 Years,Full Time,On-site,careers@hdfcbank.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2026-01-18
Assistant Professor,Infosys,General,Jaipur,0-1 Years,Full Time,On-site,careers@infosys.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2025-11-30
