Job Title,Company,Industry,City,Experience,Employment Type,Work Mode,Company Email,Description,Posted Date
Staff Nurse,Apollo Hospitals,Healthcare,Chennai,Fresher,Part Time,On-site,careers@apollohospitals.com,Maintain medical records and ensure hygiene standards. Assist in emergency situations and routine checkups. Provide patient care and assist doctors in clinical procedures. Monitor patient vitals and administer medications.,2026-01-10
Supply Chain Analyst,Adani Group,General,Nagpur,0-1 Years,Full Time,On-site,careers@adanigroup.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-12-09
Operations Executive,Mahindra & Mahindra,Logistics,Bhopal,5+ Years,Contract,On-site,careers@mahindra&mahindra.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-12-09
Teacher,Byju's,Education,Noida,0-1 Years,Full Time,Hybrid,careers@byju's.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-30
Site Supervisor,L&T,Construction,Kolkata,3-5 Years,Contract,On-site,careers@l&t.com,Supervise construction activities at the site. Monitor project progress and report to management. Schedule labor and resources efficiently to meet deadlines. Ensure safety standards and material quality.,2025-11-24
Assistant Professor,Reliance Industries,General,Nagpur,3-5 Years,Full Time,On-site,careers@relianceindustries.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-12-21
Site Supervisor,L&T,Construction,Chennai,1-3 Years,Full Time,On-site,careers@l&t.com,Ensure safety standards and material quality. Monitor project progress and report to management. Schedule labor and resources efficiently to meet deadlines. Coordinate with engineers and contractors.,2025-11-27
Software Engineer,Infosys,IT Services,Nagpur,0-1 Years,Full Time,Remote,careers@infosys.com,"Participate in code reviews and improve development standards. Design, develop, and maintain scalable software applications. Debug, test, and optimize code for high performance. Collaborate with cross-functional teams to implement new features.",2025-12-29
Project Coordinator,Tata Group,General,Gurgaon,3-5 Years,Full Time,On-site,careers@tatagroup.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-12-08
Digital Marketing Executive,Adani Group,General,Bhopal,1-3 Years,Full Time,On-site,careers@adanigroup.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2026-01-04
Quality Analyst,Mahindra & Mahindra,General,Noida,3-5 Years,Full Time,On-site,careers@mahindra&mahindra.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2025-12-28
Graphic Designer,Mahindra & Mahindra,General,Ahmedabad,0-1 Years,Full Time,On-site,careers@mahindra&mahindra.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2025-12-26
HR Executive,Infosys,IT Services,Nagpur,3-5 Years,Full Time,On-site,careers@infosys.com,"Maintain records of employee attendance and leave. Manage recruitment, onboarding, and employee documentation. Support training and development initiatives. Coordinate HR policies, payroll support, and compliance.",2025-12-18
Production Supervisor,Tata Group,General,Delhi,1-3 Years,Full Time,On-site,careers@tatagroup.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2026-01-16
Accountant,ICICI Bank,Banking & Finance,Lucknow,0-1 Years,Full Time,On-site,careers@icicibank.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-12-21
Civil Engineer,Reliance Industries,General,Bhopal,0-1 Years,Full Time,On-site,careers@relianceindustries.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2025-12-18
Bank Clerk,Tata Group,General,Jaipur,Fresher,Full Time,On-site,careers@tatagroup.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2026-01-17
Bank Clerk,Adani Group,General,Gurgaon,1-3 Years,Full Time,On-site,careers@adanigroup.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2026-01-09
Production Supervisor,Adani Group,General,Hyderabad,Fresher,Full Time,On-site,careers@adanigroup.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-11-22
Sales Manager,Zomato,Retail,Delhi,3-5 Years,Full Time,On-site,careers@zomato.com,Achieve monthly targets and lead the sales team. Analyze market trends and customer needs. Negotiate contracts and maintain customer satisfaction. Develop sales strategies and manage client relationships.,2025-12-21
Software Engineer,Wipro,IT Services,Mumbai,1-3 Years,Full Time,On-site,careers@wipro.com,"Debug, test, and optimize code for high performance. Participate in code reviews and improve development standards. Write technical documentation and ensure proper version control. Collaborate with cross-functional teams to implement new features.",2025-12-08
Staff Nurse,Apollo Hospitals,Healthcare,Noida,5+ Years,Part Time,On-site,careers@apollohospitals.com,Maintain medical records and ensure hygiene standards. Communicate with patients and families about treatment plans. Monitor patient vitals and administer medications. Provide patient care and assist doctors in clinical procedures.,2025-12-24
Content Writer,Reliance Industries,General,Ahmedabad,Fresher,Full Time,On-site,careers@relianceindustries.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2025-12-18
Interior Designer,Adani Group,General,Hyderabad,3-5 Years,Full Time,On-site,careers@adanigroup.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2026-01-18
Civil Engineer,Mahindra & Mahindra,General,Noida,0-1 Years,Full Time,On-site,careers@mahindra&mahindra.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2026-01-18
Customer Support Executive,Adani Group,General,Mumbai,3-5 Years,Full Time,On-site,careers@adanigroup.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2025-12-12
Content Writer,Mahindra & Mahindra,General,Pune,Fresher,Full Time,On-site,careers@mahindra&mahindra.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2026-01-14
Production Supervisor,Reliance Industries,General,Delhi,0-1 Years,Full Time,On-site,careers@relianceindustries.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2025-12-24
Supply Chain Analyst,Adani Group,General,Indore,3-5 Years,Full Time,On-site,careers@adanigroup.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2026-01-11
Mechanical Engineer,Reliance Industries,General,Indore,1-3 Years,Full Time,On-site,careers@relianceindustries.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-11-21
HR Executive,Infosys,IT Services,Nagpur,0-1 Years,Full Time,On-site,careers@infosys.com,"Maintain records of employee attendance and leave. Support training and development initiatives. Coordinate HR policies, payroll support, and compliance. Manage recruitment, onboarding, and employee documentation.",2026-01-03
Pharmacist,Mahindra & Mahindra,General,Chennai,0-1 Years,Full Time,On-site,careers@mahindra&mahindra.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-12-02
Loan Officer,Adani Group,General,Kolkata,0-1 Years,Full Time,On-site,careers@adanigroup.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-17
Content Writer,Tata Group,General,Delhi,Fresher,Full Time,On-site,careers@tatagroup.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-12-09
Digital Marketing Executive,Tata Group,General,Hyderabad,0-1 Years,Full Time,On-site,careers@tatagroup.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2026-01-06
HR Executive,Tata Group,IT Services,Kolkata,1-3 Years,Full Time,On-site,careers@tatagroup.com,"Support training and development initiatives. Coordinate HR policies, payroll support, and compliance. Maintain records of employee attendance and leave. Assist in employee engagement and performance management.",2026-01-20
Staff Nurse,Apollo Hospitals,Healthcare,Jaipur,1-3 Years,Part Time,On-site,careers@apollohospitals.com,Communicate with patients and families about treatment plans. Maintain medical records and ensure hygiene standards. Assist in emergency situations and routine checkups. Provide patient care and assist doctors in clinical procedures.,2025-12-02
Supply Chain Analyst,Mahindra & Mahindra,General,Pune,3-5 Years,Full Time,On-site,careers@mahindra&mahindra.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2026-01-08
Loan Officer,Mahindra & Mahindra,General,Indore,3-5 Years,Full Time,On-site,careers@mahindra&mahindra.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-12-20
Electrical Technician,Tata Group,General,Gurgaon,5+ Years,Full Time,On-site,careers@tatagroup.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2025-12-07
Digital Marketing Executive,Mahindra & Mahindra,General,Mumbai,3-5 Years,Full Time,On-site,careers@mahindra&mahindra.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2025-12-18
Graphic Designer,Tata Group,General,Mumbai,3-5 Years,Full Time,On-site,careers@tatagroup.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2025-12-22
Civil Engineer,Reliance Industries,General,Bengaluru,3-5 Years,Full Time,On-site,careers@relianceindustries.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2026-01-03
Customer Support Executive,Adani Group,General,Pune,Fresher,Full Time,On-site,careers@adanigroup.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2025-12-11
Staff Nurse,Apollo Hospitals,Healthcare,Jaipur,5+ Years,Part Time,On-site,careers@apollohospitals.com,Maintain medical records and ensure hygiene standards. Monitor patient vitals and administer medications. Assist in emergency situations and routine checkups. Communicate with patients and families about treatment plans.,2025-12-20
Operations Executive,Mahindra & Mahindra,Logistics,Hyderabad,1-3 Years,Full Time,Hybrid,careers@mahindra&mahindra.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2026-01-07
Graphic Designer,Mahindra & Mahindra,General,Gurgaon,Fresher,Full Time,On-site,careers@mahindra&mahindra.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2025-12-31
Quality Analyst,Tata Group,General,Pune,Fresher,Full Time,On-site,careers@tatagroup.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2025-11-29
Software Engineer,Wipro,IT Services,Gurgaon,Fresher,Internship,On-site,careers@wipro.com,"Debug, test, and optimize code for high performance. Design, develop, and maintain scalable software applications. Collaborate with cross-functional teams to implement new features. Participate in code reviews and improve development standards.",2025-12-09
Customer Support Executive,Reliance Industries,General,Gurgaon,5+ Years,Full Time,On-site,careers@relianceindustries.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-12-18
Accountant,HDFC Bank,Banking & Finance,Noida,1-3 Years,Full Time,On-site,careers@hdfcbank.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-11-29
UI/UX Designer,Adani Group,General,Lucknow,5+ Years,Full Time,On-site,careers@adanigroup.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-12-08
Interior Designer,Adani Group,General,Lucknow,3-5 Years,Full Time,On-site,careers@adanigroup.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-12-11
Production Supervisor,Mahindra & Mahindra,General,Hyderabad,0-1 Years,Full Time,On-site,careers@mahindra&mahindra.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2025-12-19
Interior Designer,Reliance Industries,General,Pune,0-1 Years,Full Time,On-site,careers@relianceindustries.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2025-12-09
Interior Designer,Reliance Industries,General,Mumbai,1-3 Years,Full Time,On-site,careers@relianceindustries.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-12-28
Mechanical Engineer,Reliance Industries,General,Gurgaon,0-1 Years,Full Time,On-site,careers@relianceindustries.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2025-12-29
Project Coordinator,Tata Group,General,Mumbai,Fresher,Full Time,On-site,careers@tatagroup.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2026-01-17
Civil Engineer,Mahindra & Mahindra,General,Kolkata,3-5 Years,Full Time,On-site,careers@mahindra&mahindra.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines.,2025-11-23
Bank Clerk,Reliance Industries,General,Bengaluru,1-3 Years,Full Time,On-site,careers@relianceindustries.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2026-01-18
Graphic Designer,Tata Group,General,Nagpur,1-3 Years,Full Time,On-site,careers@tatagroup.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2026-01-11
Site Supervisor,L&T,Construction,Bengaluru,3-5 Years,Contract,On-site,careers@l&t.com,Supervise construction activities at the site. Ensure safety standards and material quality. Coordinate with engineers and contractors. Schedule labor and resources efficiently to meet deadlines.,2026-01-10
Sales Manager,Zomato,Retail,Patna,1-3 Years,Full Time,On-site,careers@zomato.com,Develop sales strategies and manage client relationships. Analyze market trends and customer needs. Achieve monthly targets and lead the sales team. Negotiate contracts and maintain customer satisfaction.,2025-12-01
Site Supervisor,Adani Group,Construction,Hyderabad,0-1 Years,Full Time,On-site,careers@adanigroup.com,Monitor project progress and report to management. Coordinate with engineers and contractors. Schedule labor and resources efficiently to meet deadlines. Ensure safety standards and material quality.,2026-01-11
Accountant,ICICI Bank,Banking & Finance,Pune,Fresher,Part Time,Remote,careers@icicibank.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-27
Civil Engineer,Adani Group,General,Pune,1-3 Years,Full Time,On-site,careers@adanigroup.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-12-27
Interior Designer,Adani Group,General,Gurgaon,0-1 Years,Full Time,On-site,careers@adanigroup.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2026-01-07
